"id","problem_number","title","latest_reference_year","references_section_present","reference_years_count"
"1882","EP-10","Erdős Problem #10","1998","true","3"
"1884","EP-14","Erdős Problem #14","1991","true","1"
"1887","EP-18","Erdős Problem #18","1985","true","3"
"1889","EP-25","Erdős Problem #25","","false","0"
"1895","EP-38","Erdős Problem #38","1942","true","2"
"1897","EP-40","Erdős Problem #40","","false","0"
"1899","EP-42","Erdős Problem #42","","false","0"
"1900","EP-43","Erdős Problem #43","","false","0"
"1902","EP-50","Erdős Problem #50","1995","true","1"
"1907","EP-62","Erdős Problem #62","1987","true","4"
"1910","EP-68","Erdős Problem #68","1988","true","2"
"1911","EP-70","Erdős Problem #70","","false","0"
"1912","EP-74","Erdős Problem #74","1982","true","1"
"1913","EP-75","Erdős Problem #75","1995","true","2"
"1917","EP-81","Erdős Problem #81","1994","true","2"
"1921","EP-87","Erdős Problem #87","1993","true","1"
"1927","EP-98","Erdős Problem #98","1993","true","1"
"1928","EP-99","Erdős Problem #99","1999","true","2"
"1931","EP-102","Erdős Problem #102","1995","true","1"
"1932","EP-103","Erdős Problem #103","","false","0"
"1933","EP-104","Erdős Problem #104","1992","true","6"
"1934","EP-108","Erdős Problem #108","1979","true","2"
"1935","EP-111","Erdős Problem #111","1982","true","2"
"1936","EP-112","Erdős Problem #112","1997","true","2"
"1938","EP-117","Erdős Problem #117","1997","true","3"
"1939","EP-119","Erdős Problem #119","1991","true","4"
"1941","EP-122","Erdős Problem #122","1997","true","1"
"1945","EP-126","Erdős Problem #126","1934","true","1"
"1946","EP-129","Erdős Problem #129","","false","0"
"1947","EP-130","Erdős Problem #130","1997","true","2"
"1950","EP-137","Erdős Problem #137","1982","true","2"
"1959","EP-151","Erdős Problem #151","1992","true","2"
"1960","EP-152","Erdős Problem #152","","false","0"
"1961","EP-153","Erdős Problem #153","","false","0"
"1962","EP-155","Erdős Problem #155","","false","0"
"1963","EP-156","Erdős Problem #156","1998","true","2"
"1964","EP-158","Erdős Problem #158","","false","0"
"1965","EP-159","Erdős Problem #159","1978","true","2"
"1968","EP-162","Erdős Problem #162","","false","0"
"1970","EP-168","Erdős Problem #168","1977","true","1"
"1974","EP-173","Erdős Problem #173","1976","true","1"
"1976","EP-176","Erdős Problem #176","1973","true","2"
"1978","EP-180","Erdős Problem #180","","false","0"
"1982","EP-187","Erdős Problem #187","1980","true","1"
"1984","EP-190","Erdős Problem #190","","false","0"
"1985","EP-193","Erdős Problem #193","1979","true","1"
"1987","EP-196","Erdős Problem #196","1977","true","1"
"1988","EP-197","Erdős Problem #197","","false","0"
"1989","EP-200","Erdős Problem #200","","false","0"
"1990","EP-201","Erdős Problem #201","1975","true","2"
"1992","EP-203","Erdős Problem #203","","false","0"
"1996","EP-217","Erdős Problem #217","1983","true","1"
"1997","EP-218","Erdős Problem #218","1985","true","2"
"2000","EP-234","Erdős Problem #234","","false","0"
"2002","EP-238","Erdős Problem #238","1949","true","1"
"2006","EP-247","Erdős Problem #247","1988","true","4"
"2007","EP-249","Erdős Problem #249","","false","0"
"2008","EP-251","Erdős Problem #251","1988","true","3"
"2010","EP-254","Erdős Problem #254","1960","true","1"
"2013","EP-258","Erdős Problem #258","1971","true","2"
"2014","EP-260","Erdős Problem #260","1981","true","1"
"2019","EP-267","Erdős Problem #267","1993","true","5"
"2020","EP-269","Erdős Problem #269","1988","true","2"
"2022","EP-272","Erdős Problem #272","1999","true","3"
"2023","EP-273","Erdős Problem #273","","false","0"
"2026","EP-278","Erdős Problem #278","1986","true","1"
"2027","EP-279","Erdős Problem #279","","false","0"
"2028","EP-281","Erdős Problem #281","1966","true","2"
"2029","EP-282","Erdős Problem #282","1964","true","1"
"2031","EP-288","Erdős Problem #288","","false","0"
"2032","EP-289","Erdős Problem #289","1980","true","1"
"2035","EP-295","Erdős Problem #295","1971","true","1"
"2036","EP-301","Erdős Problem #301","","false","0"
"2037","EP-302","Erdős Problem #302","1991","true","1"
"2040","EP-311","Erdős Problem #311","1980","true","1"
"2041","EP-312","Erdős Problem #312","","false","0"
"2042","EP-313","Erdős Problem #313","","false","0"
"2043","EP-317","Erdős Problem #317","","false","0"
"2044","EP-318","Erdős Problem #318","1982","true","3"
"2047","EP-321","Erdős Problem #321","1976","true","2"
"2049","EP-323","Erdős Problem #323","","false","0"
"2050","EP-324","Erdős Problem #324","","false","0"
"2052","EP-326","Erdős Problem #326","1957","true","1"
"2053","EP-327","Erdős Problem #327","","false","0"
"2055","EP-330","Erdős Problem #330","","false","0"
"2056","EP-332","Erdős Problem #332","1979","true","3"
"2057","EP-334","Erdős Problem #334","1989","true","1"
"2058","EP-335","Erdős Problem #335","","false","0"
"2061","EP-340","Erdős Problem #340","1980","true","1"
"2062","EP-341","Erdős Problem #341","","false","0"
"2064","EP-345","Erdős Problem #345","1980","true","1"
"2065","EP-346","Erdős Problem #346","1980","true","2"
"2066","EP-348","Erdős Problem #348","","false","0"
"2067","EP-349","Erdős Problem #349","1964","true","1"
"2071","EP-357","Erdős Problem #357","1986","true","3"
"2073","EP-359","Erdős Problem #359","1977","true","2"
"2074","EP-361","Erdős Problem #361","","false","0"
"2076","EP-367","Erdős Problem #367","","false","0"
"2078","EP-369","Erdős Problem #369","1998","true","1"
"2084","EP-380","Erdős Problem #380","","false","0"
"2085","EP-382","Erdős Problem #382","","false","0"
"2086","EP-383","Erdős Problem #383","","false","0"
"2087","EP-385","Erdős Problem #385","","false","0"
"2088","EP-386","Erdős Problem #386","","false","0"
"2090","EP-388","Erdős Problem #388","","false","0"
"2091","EP-389","Erdős Problem #389","","false","0"
"2092","EP-390","Erdős Problem #390","1982","true","1"
"2094","EP-394","Erdős Problem #394","1980","true","2"
"2096","EP-400","Erdős Problem #400","","false","0"
"2097","EP-404","Erdős Problem #404","1960","true","1"
"2103","EP-412","Erdős Problem #412","1979","true","1"
"2105","EP-414","Erdős Problem #414","","false","0"
"2106","EP-415","Erdős Problem #415","1936","true","1"
"2108","EP-417","Erdős Problem #417","1998","true","2"
"2109","EP-420","Erdős Problem #420","1996","true","1"
"2110","EP-421","Erdős Problem #421","","false","0"
"2111","EP-422","Erdős Problem #422","","false","0"
"2112","EP-423","Erdős Problem #423","1977","true","2"
"2113","EP-424","Erdős Problem #424","1980","true","3"
"2114","EP-425","Erdős Problem #425","1980","true","6"
"2115","EP-428","Erdős Problem #428","","false","0"
"2116","EP-430","Erdős Problem #430","","false","0"
"2118","EP-432","Erdős Problem #432","","false","0"
"2119","EP-436","Erdős Problem #436","1991","true","5"
"2120","EP-445","Erdős Problem #445","2000","true","1"
"2122","EP-451","Erdős Problem #451","1979","true","1"
"2123","EP-452","Erdős Problem #452","1937","true","1"
"2124","EP-454","Erdős Problem #454","1979","true","1"
"2125","EP-455","Erdős Problem #455","1976","true","1"
"2126","EP-456","Erdős Problem #456","1979","true","1"
"2127","EP-457","Erdős Problem #457","","false","0"
"2128","EP-460","Erdős Problem #460","1980","true","3"
"2129","EP-461","Erdős Problem #461","","false","0"
"2130","EP-462","Erdős Problem #462","","false","0"
"2131","EP-463","Erdős Problem #463","1992","true","1"
"2132","EP-467","Erdős Problem #467","1980","true","1"
"2133","EP-468","Erdős Problem #468","","false","0"
"2134","EP-469","Erdős Problem #469","1974","true","1"
"2136","EP-472","Erdős Problem #472","","false","0"
"2137","EP-477","Erdős Problem #477","","false","0"
"2139","EP-479","Erdős Problem #479","","false","0"
"2141","EP-486","Erdős Problem #486","1951","true","3"
"2143","EP-489","Erdős Problem #489","","false","0"
"2144","EP-495","Erdős Problem #495","","false","0"
"2146","EP-501","Erdős Problem #501","1987","true","4"
"2150","EP-509","Erdős Problem #509","1974","true","3"
"2152","EP-513","Erdős Problem #513","1964","true","2"
"2153","EP-514","Erdős Problem #514","","false","0"
"2154","EP-517","Erdős Problem #517","1929","true","3"
"2158","EP-524","Erdős Problem #524","1954","true","1"
"2163","EP-533","Erdős Problem #533","1962","true","1"
"2164","EP-535","Erdős Problem #535","1970","true","2"
"2165","EP-536","Erdős Problem #536","1970","true","2"
"2166","EP-538","Erdős Problem #538","","false","0"
"2167","EP-539","Erdős Problem #539","","false","0"
"2168","EP-543","Erdős Problem #543","1965","true","1"
"2169","EP-544","Erdős Problem #544","","false","0"
"2171","EP-550","Erdős Problem #550","1977","true","1"
"2173","EP-554","Erdős Problem #554","","false","0"
"2174","EP-555","Erdős Problem #555","1981","true","2"
"2175","EP-557","Erdős Problem #557","","false","0"
"2176","EP-558","Erdős Problem #558","1999","true","2"
"2178","EP-561","Erdős Problem #561","1978","true","1"
"2179","EP-562","Erdős Problem #562","1965","true","1"
"2180","EP-563","Erdős Problem #563","","false","0"
"2181","EP-564","Erdős Problem #564","1984","true","2"
"2182","EP-566","Erdős Problem #566","1993","true","1"
"2184","EP-568","Erdős Problem #568","","false","0"
"2185","EP-569","Erdős Problem #569","","false","0"
"2187","EP-572","Erdős Problem #572","1999","true","7"
"2188","EP-573","Erdős Problem #573","1954","true","1"
"2189","EP-574","Erdős Problem #574","","false","0"
"2190","EP-575","Erdős Problem #575","","false","0"
"2192","EP-579","Erdős Problem #579","","false","0"
"2199","EP-593","Erdős Problem #593","1975","true","1"
"2200","EP-595","Erdős Problem #595","1975","true","2"
"2201","EP-596","Erdős Problem #596","","false","0"
"2202","EP-597","Erdős Problem #597","","false","0"
"2203","EP-598","Erdős Problem #598","","false","0"
"2204","EP-600","Erdős Problem #600","1978","true","2"
"2205","EP-601","Erdős Problem #601","1990","true","4"
"2206","EP-602","Erdős Problem #602","","false","0"
"2207","EP-603","Erdős Problem #603","","false","0"
"2210","EP-610","Erdős Problem #610","1995","true","3"
"2211","EP-611","Erdős Problem #611","1992","true","1"
"2213","EP-614","Erdős Problem #614","","false","0"
"2214","EP-616","Erdős Problem #616","1991","true","1"
"2215","EP-619","Erdős Problem #619","2000","true","2"
"2217","EP-623","Erdős Problem #623","1999","true","2"
"2218","EP-624","Erdős Problem #624","1968","true","1"
"2220","EP-626","Erdős Problem #626","1988","true","2"
"2221","EP-627","Erdős Problem #627","1967","true","3"
"2222","EP-629","Erdős Problem #629","2000","true","3"
"2225","EP-635","Erdős Problem #635","","false","0"
"2226","EP-638","Erdős Problem #638","","false","0"
"2227","EP-640","Erdős Problem #640","","false","0"
"2230","EP-644","Erdős Problem #644","1992","true","1"
"2231","EP-650","Erdős Problem #650","1959","true","1"
"2233","EP-653","Erdős Problem #653","","false","0"
"2234","EP-654","Erdős Problem #654","1990","true","3"
"2235","EP-655","Erdős Problem #655","","false","0"
"2237","EP-660","Erdős Problem #660","1975","true","2"
"2238","EP-661","Erdős Problem #661","","false","0"
"2239","EP-662","Erdős Problem #662","1997","true","1"
"2240","EP-663","Erdős Problem #663","","false","0"
"2241","EP-665","Erdős Problem #665","1997","true","4"
"2242","EP-667","Erdős Problem #667","","false","0"
"2244","EP-669","Erdős Problem #669","1974","true","1"
"2245","EP-670","Erdős Problem #670","1997","true","2"
"2246","EP-671","Erdős Problem #671","1980","true","2"
"2247","EP-675","Erdős Problem #675","","false","0"
"2248","EP-676","Erdős Problem #676","1979","true","1"
"2250","EP-679","Erdős Problem #679","","false","0"
"2251","EP-680","Erdős Problem #680","1995","true","1"
"2252","EP-681","Erdős Problem #681","","false","0"
"2253","EP-683","Erdős Problem #683","1979","true","3"
"2254","EP-684","Erdős Problem #684","","false","0"
"2255","EP-685","Erdős Problem #685","","false","0"
"2256","EP-686","Erdős Problem #686","","false","0"
"2258","EP-688","Erdős Problem #688","","false","0"
"2259","EP-689","Erdős Problem #689","","false","0"
"2261","EP-691","Erdős Problem #691","1996","true","1"
"2262","EP-693","Erdős Problem #693","","false","0"
"2263","EP-694","Erdős Problem #694","","false","0"
"2265","EP-696","Erdős Problem #696","","false","0"
"2266","EP-700","Erdős Problem #700","","false","0"
"2270","EP-706","Erdős Problem #706","","false","0"
"2271","EP-708","Erdős Problem #708","1992","true","2"
"2272","EP-709","Erdős Problem #709","1959","true","1"
"2273","EP-710","Erdős Problem #710","1992","true","2"
"2275","EP-712","Erdős Problem #712","1981","true","1"
"2277","EP-714","Erdős Problem #714","1966","true","2"
"2278","EP-719","Erdős Problem #719","","false","0"
"2279","EP-724","Erdős Problem #724","1983","true","3"
"2280","EP-725","Erdős Problem #725","1951","true","2"
"2281","EP-726","Erdős Problem #726","1975","true","1"
"2282","EP-727","Erdős Problem #727","1975","true","3"
"2283","EP-730","Erdős Problem #730","1975","true","1"
"2284","EP-731","Erdős Problem #731","1975","true","1"
"2285","EP-734","Erdős Problem #734","1981","true","2"
"2286","EP-738","Erdős Problem #738","","false","0"
"2287","EP-740","Erdős Problem #740","1995","true","2"
"2288","EP-741","Erdős Problem #741","1994","true","1"
"2289","EP-749","Erdős Problem #749","","false","0"
"2290","EP-750","Erdős Problem #750","1982","true","4"
"2291","EP-757","Erdős Problem #757","1995","true","1"
"2292","EP-761","Erdős Problem #761","","false","0"
"2293","EP-766","Erdős Problem #766","","false","0"
"2294","EP-768","Erdős Problem #768","","false","0"
"2296","EP-770","Erdős Problem #770","","false","0"
"2297","EP-773","Erdős Problem #773","1995","true","2"
"2299","EP-776","Erdős Problem #776","","false","0"
"2302","EP-783","Erdős Problem #783","","false","0"
"2303","EP-786","Erdős Problem #786","1965","true","1"
"2305","EP-788","Erdős Problem #788","2000","true","2"
"2306","EP-789","Erdős Problem #789","1974","true","3"
"2307","EP-790","Erdős Problem #790","1975","true","4"
"2310","EP-793","Erdős Problem #793","1969","true","3"
"2311","EP-796","Erdős Problem #796","1969","true","3"
"2312","EP-802","Erdős Problem #802","1996","true","4"
"2314","EP-809","Erdős Problem #809","","false","0"
"2315","EP-810","Erdős Problem #810","","false","0"
"2317","EP-812","Erdős Problem #812","1989","true","1"
"2319","EP-817","Erdős Problem #817","","false","0"
"2320","EP-819","Erdős Problem #819","1991","true","1"
"2321","EP-820","Erdős Problem #820","1974","true","1"
"2325","EP-826","Erdős Problem #826","","false","0"
"2330","EP-831","Erdős Problem #831","","false","0"
"2331","EP-836","Erdős Problem #836","1975","true","1"
"2332","EP-837","Erdős Problem #837","","false","0"
"2333","EP-838","Erdős Problem #838","1978","true","1"
"2334","EP-839","Erdős Problem #839","1993","true","1"
"2336","EP-846","Erdős Problem #846","","false","0"
"2337","EP-847","Erdős Problem #847","","false","0"
"2340","EP-851","Erdős Problem #851","1934","true","1"
"2341","EP-852","Erdős Problem #852","","false","0"
"2342","EP-853","Erdős Problem #853","1985","true","2"
"2343","EP-854","Erdős Problem #854","","true","0"
"2346","EP-858","Erdős Problem #858","1968","true","3"
"2347","EP-859","Erdős Problem #859","1970","true","1"
"2349","EP-863","Erdős Problem #863","","false","0"
"2350","EP-864","Erdős Problem #864","","false","0"
"2351","EP-865","Erdős Problem #865","1975","true","1"
"2352","EP-866","Erdős Problem #866","","false","0"
"2353","EP-869","Erdős Problem #869","1988","true","3"
"2354","EP-870","Erdős Problem #870","1979","true","3"
"2356","EP-873","Erdős Problem #873","","false","0"
"2357","EP-875","Erdős Problem #875","","false","0"
"2358","EP-876","Erdős Problem #876","2000","true","9"
"2359","EP-878","Erdős Problem #878","1984","true","1"
"2360","EP-879","Erdős Problem #879","","false","0"
"2361","EP-881","Erdős Problem #881","","false","0"
"2362","EP-883","Erdős Problem #883","1999","true","2"
"2363","EP-884","Erdős Problem #884","","false","0"
"2365","EP-886","Erdős Problem #886","1997","true","1"
"2366","EP-887","Erdős Problem #887","1997","true","1"
"2367","EP-888","Erdős Problem #888","","false","0"
"2369","EP-890","Erdős Problem #890","1967","true","1"
"2370","EP-891","Erdős Problem #891","1918","true","1"
"2371","EP-892","Erdős Problem #892","1968","true","3"
"2373","EP-896","Erdős Problem #896","","false","0"
"2375","EP-902","Erdős Problem #902","1965","true","2"
"2376","EP-906","Erdős Problem #906","1982","true","2"
"2377","EP-911","Erdős Problem #911","","false","0"
"2378","EP-912","Erdős Problem #912","1982","true","1"
"2379","EP-913","Erdős Problem #913","","false","0"
"2381","EP-918","Erdős Problem #918","1969","true","2"
"2382","EP-919","Erdős Problem #919","1969","true","2"
"2386","EP-930","Erdős Problem #930","1975","true","1"
"2388","EP-932","Erdős Problem #932","","false","0"
"2389","EP-933","Erdős Problem #933","1976","true","2"
"2391","EP-935","Erdős Problem #935","1976","true","2"
"2393","EP-938","Erdős Problem #938","","false","0"
"2395","EP-940","Erdős Problem #940","1994","true","4"
"2397","EP-943","Erdős Problem #943","","false","0"
"2400","EP-948","Erdős Problem #948","","false","0"
"2401","EP-949","Erdős Problem #949","","false","0"
"2402","EP-950","Erdős Problem #950","","false","0"
"2403","EP-951","Erdős Problem #951","","false","0"
"2404","EP-952","Erdős Problem #952","1977","true","2"
"2405","EP-953","Erdős Problem #953","1977","true","2"
"2406","EP-954","Erdős Problem #954","","false","0"
"2408","EP-956","Erdős Problem #956","1990","true","1"
"2410","EP-960","Erdős Problem #960","","false","0"
"2411","EP-961","Erdős Problem #961","1974","true","4"
"2412","EP-962","Erdős Problem #962","1965","true","1"
"2413","EP-963","Erdős Problem #963","","false","0"
"2414","EP-968","Erdős Problem #968","1961","true","1"
"2417","EP-971","Erdős Problem #971","1949","true","1"
"2418","EP-972","Erdős Problem #972","1948","true","1"
"2419","EP-973","Erdős Problem #973","1992","true","3"
"2420","EP-975","Erdős Problem #975","1999","true","6"
"2421","EP-976","Erdős Problem #976","1990","true","3"
"2423","EP-979","Erdős Problem #979","1937","true","1"
"2424","EP-983","Erdős Problem #983","1970","true","1"
"2425","EP-985","Erdős Problem #985","1986","true","2"
"2427","EP-987","Erdős Problem #987","1974","true","5"
"2428","EP-990","Erdős Problem #990","1950","true","1"
"2429","EP-992","Erdős Problem #992","1950","true","2"
"2430","EP-995","Erdős Problem #995","1964","true","2"
"2431","EP-996","Erdős Problem #996","1966","true","4"
"2433","EP-1002","Erdős Problem #1002","1960","true","1"
"2434","EP-1003","Erdős Problem #1003","1987","true","3"
"2435","EP-1004","Erdős Problem #1004","1987","true","1"
"2438","EP-1013","Erdős Problem #1013","1968","true","1"
"2439","EP-1014","Erdős Problem #1014","","false","0"
"2443","EP-1022","Erdős Problem #1022","1968","true","2"
"2444","EP-1029","Erdős Problem #1029","1993","true","3"
"2445","EP-1030","Erdős Problem #1030","1989","true","1"
"2446","EP-1032","Erdős Problem #1032","1993","true","2"
"2447","EP-1033","Erdős Problem #1033","1988","true","2"
"2448","EP-1035","Erdős Problem #1035","1993","true","1"
"2449","EP-1038","Erdős Problem #1038","1961","true","2"
"2451","EP-1040","Erdős Problem #1040","1973","true","2"
"2452","EP-1049","Erdős Problem #1049","1948","true","1"
"2453","EP-1051","Erdős Problem #1051","1988","true","2"
"2469","EP-1071","Erdős Problem #1071","1987","true","2"
"2473","EP-1075","Erdős Problem #1075","1964","true","1"
"2478","EP-1087","Erdős Problem #1087","1971","true","1"
"2479","EP-1088","Erdős Problem #1088","1975","true","2"
"2480","EP-1089","Erdős Problem #1089","1975","true","2"
"2481","EP-1091","Erdős Problem #1091","1982","true","2"
"2482","EP-1092","Erdős Problem #1092","1982","true","1"
"2483","EP-1093","Erdős Problem #1093","1993","true","2"
"2486","EP-1096","Erdős Problem #1096","1996","true","2"
"2488","EP-1100","Erdős Problem #1100","1981","true","3"
"2489","EP-1101","Erdős Problem #1101","1981","true","2"
"2493","EP-1106","Erdős Problem #1106","2000","true","4"
"2494","EP-1107","Erdős Problem #1107","1988","true","1"
"2495","EP-1108","Erdős Problem #1108","1991","true","1"
"2502","EP-1120","Erdős Problem #1120","1974","true","1"
"2505","EP-1130","Erdős Problem #1130","1978","true","2"
"2506","EP-1131","Erdős Problem #1131","1994","true","3"
"2507","EP-1132","Erdős Problem #1132","1961","true","2"
"2508","EP-1133","Erdős Problem #1133","1967","true","1"
